Code guichet                            ,Code Localités                                         ,Code Términal GAB,GUICHETS,GAB| Nombre total des GAB,dont ceux servant à collecter les dépôts,gpsx,gpsy
888,170,1600369,EL JADIDA BOUCHRIT            ,1,,-8.5087891,33.2539771
885,170,11600075,EL JADIDA PPAL                ,1,,-8.5019964,33.2513695
886,170,1600595,EL JADIDA BIRANZARANE         ,1,,-8.4924316,33.2230587
1020,170,1600870,EL JADIDA BD IBN BADIS,1,,-8.504317,33.235794
889,170,1600890,EL JADIDA JOUHARA             ,1,,-8.4932175,33.2331664
885,170,11600142,EL JADIDA PPAL                ,1,,-8.5019964,33.2513695
897,170,11600182,EL JADIDA PLATEAU             ,1,,-8.5163959,33.2495953
897,170,11600104,EL JADIDA PLATEAU             ,1,,-8.5163959,33.2495953
1032,170,11600223,EL JADIDA BD MOHAMED RAFII ,1,,-8.508127,33.254221
887,170,11600027,EL JADIDA SAADA               ,1,,-8.5273916,33.2412359
793,190,1600662,EL KELAA DES SRARHNA EL QODS  ,1,,-7.397436,32.0601595
792,190,1600314,EL KELAA DES SRARHNA VILLE    ,1,,-7.408602,32.0465491
722,190,11600422,EL KELAA DES SRARHNA PPAL     ,1,,-7.4062564,32.053774
722,190,1600749,EL KELAA DES SRARHNA PPAL     ,1,,-7.4062564,32.053774
191,385,1600366,EL KEBAB                      ,1,,-5.52401,32.741813
735,556,11600348,EL KELAA MGOUNA               ,1,,-6.1295182,31.2367794
125,281,11600384,EL MENZEL                     ,1,,-4.545524,33.837959
583,18,11600226,EL KOLEA                      ,1,,-9.460967,30.297664
885,170,1600465,EL JADIDA PPAL                ,1,,-8.5019964,33.2513695
167,218,11600375,ERFOUD                        ,1,,-4.234211,31.434348
167,218,11600376,ERFOUD                        ,1,,-4.234211,31.434348
172,219,11600257,ALNIF                         ,1,,-5.168332,31.116043
200,210,1600826,P.A.FAR ERRACHIDIA            ,1,,-4.431331,31.927735
199,210,1600783,ERRACHIDIA PRINCIPAL          ,1,,-4.4252104,31.9331753
201,210,11600354,ERRACHIDIA OULED EL HAJ       ,1,,-4.4046968,31.9364463
199,210,11600353,ERRACHIDIA PRINCIPAL          ,1,,-4.4252104,31.9331753
932,240,11600293,ESSAOUIRA GARE ROUTIERE       ,1,,-9.7602475,31.517098
932,240,1600750,ESSAOUIRA GARE ROUTIERE       ,1,,-9.7602475,31.517098
914,240,1600653,ESSAOUIRA PPAL                ,1,,-9.7663549,31.5101604
775,260,11600133,ESSEMARA PAL                  ,1,,-11.67056,26.74019
775,260,1600640,ESSEMARA PAL                  ,1,,-11.67056,26.74019
630,682,11600332,FAM EL HISN                   ,1,,-8.8874567,29.0131648
928,111,1600849,FEDALATE                      ,1,,-7.30752,33.568732
40,270,1600535,FES GARE                      ,1,,-5.005458,34.0470457
147,270,1600262,FES AL ADARISSA               ,1,,-5.0112704,34.019032
175,270,11600378,FES AGDAL                     ,1,,-5.003677,34.0424808
